fc_dim: 64, eps_dec: 0.005, lr: 0.01, avg_score: -245.27, done: False, time: 9.64
fc_dim: 64, eps_dec: 0.005, lr: 0.001, avg_score: -239.01, done: False, time: 10.61
fc_dim: 64, eps_dec: 0.005, lr: 0.0005, avg_score: -178.52, done: False, time: 42.62
fc_dim: 64, eps_dec: 0.005, lr: 0.0001, avg_score: -172.36, done: False, time: 344.42
fc_dim: 64, eps_dec: 0.001, lr: 0.01, avg_score: -237.78, done: False, time: 32.22
fc_dim: 64, eps_dec: 0.001, lr: 0.001, avg_score: -320.71, done: False, time: 8.78
fc_dim: 64, eps_dec: 0.001, lr: 0.0005, avg_score: -201.08, done: False, time: 147.03
fc_dim: 64, eps_dec: 0.001, lr: 0.0001, avg_score: -192.28, done: False, time: 25.08
fc_dim: 64, eps_dec: 0.0005, lr: 0.01, avg_score: -161.14, done: False, time: 10.73
fc_dim: 64, eps_dec: 0.0005, lr: 0.001, avg_score: -122.54, done: False, time: 12.45
fc_dim: 64, eps_dec: 0.0005, lr: 0.0005, avg_score: -205.83, done: False, time: 14.43
fc_dim: 64, eps_dec: 0.0005, lr: 0.0001, avg_score: -255.75, done: False, time: 64.24
fc_dim: 64, eps_dec: 0.0002, lr: 0.01, avg_score: -106.24, done: False, time: 40.26
fc_dim: 64, eps_dec: 0.0002, lr: 0.001, avg_score: -179.80, done: False, time: 29.75
fc_dim: 64, eps_dec: 0.0002, lr: 0.0005, avg_score: -189.06, done: False, time: 25.25
fc_dim: 64, eps_dec: 0.0002, lr: 0.0001, avg_score: -273.62, done: False, time: 25.57
fc_dim: 128, eps_dec: 0.005, lr: 0.01, avg_score: -124.34, done: False, time: 18.81
fc_dim: 128, eps_dec: 0.005, lr: 0.001, avg_score: -268.76, done: False, time: 13.68
fc_dim: 128, eps_dec: 0.005, lr: 0.0005, avg_score: -193.21, done: False, time: 124.16
fc_dim: 128, eps_dec: 0.005, lr: 0.0001, avg_score: -210.00, done: False, time: 11.29
fc_dim: 128, eps_dec: 0.001, lr: 0.01, avg_score: -150.74, done: False, time: 79.20
fc_dim: 128, eps_dec: 0.001, lr: 0.001, avg_score: -163.89, done: False, time: 26.39
fc_dim: 128, eps_dec: 0.001, lr: 0.0005, avg_score: -213.45, done: False, time: 16.58
fc_dim: 128, eps_dec: 0.001, lr: 0.0001, avg_score: -316.21, done: False, time: 40.75
fc_dim: 128, eps_dec: 0.0005, lr: 0.01, avg_score: -71.17, done: False, time: 13.19
fc_dim: 128, eps_dec: 0.0005, lr: 0.001, avg_score: -128.96, done: False, time: 21.08
fc_dim: 128, eps_dec: 0.0005, lr: 0.0005, avg_score: -192.03, done: False, time: 12.83
fc_dim: 128, eps_dec: 0.0005, lr: 0.0001, avg_score: -276.68, done: False, time: 18.61
fc_dim: 128, eps_dec: 0.0002, lr: 0.01, avg_score: -115.03, done: False, time: 40.68
fc_dim: 128, eps_dec: 0.0002, lr: 0.001, avg_score: -116.27, done: False, time: 28.01
fc_dim: 128, eps_dec: 0.0002, lr: 0.0005, avg_score: -122.96, done: False, time: 23.17
fc_dim: 128, eps_dec: 0.0002, lr: 0.0001, avg_score: -130.70, done: False, time: 22.51
fc_dim: 192, eps_dec: 0.005, lr: 0.01, avg_score: -225.66, done: False, time: 18.03
fc_dim: 192, eps_dec: 0.005, lr: 0.001, avg_score: -174.60, done: False, time: 16.88
fc_dim: 192, eps_dec: 0.005, lr: 0.0005, avg_score: -282.07, done: False, time: 9.49
fc_dim: 192, eps_dec: 0.005, lr: 0.0001, avg_score: -211.27, done: False, time: 41.72
fc_dim: 192, eps_dec: 0.001, lr: 0.01, avg_score: -130.34, done: False, time: 66.08
fc_dim: 192, eps_dec: 0.001, lr: 0.001, avg_score: -103.45, done: False, time: 135.11
fc_dim: 192, eps_dec: 0.001, lr: 0.0005, avg_score: -250.68, done: False, time: 69.59
fc_dim: 192, eps_dec: 0.001, lr: 0.0001, avg_score: -198.87, done: False, time: 7.93
fc_dim: 192, eps_dec: 0.0005, lr: 0.01, avg_score: -65.01, done: False, time: 32.84
fc_dim: 192, eps_dec: 0.0005, lr: 0.001, avg_score: -56.38, done: False, time: 82.60
fc_dim: 192, eps_dec: 0.0005, lr: 0.0005, avg_score: -212.31, done: False, time: 10.80
fc_dim: 192, eps_dec: 0.0005, lr: 0.0001, avg_score: -328.26, done: False, time: 17.27
fc_dim: 192, eps_dec: 0.0002, lr: 0.01, avg_score: -121.06, done: False, time: 21.19
fc_dim: 192, eps_dec: 0.0002, lr: 0.001, avg_score: -104.19, done: False, time: 69.38
