fc_dim: 64, eps_dec: 2e-05, lr: 1e-05, avg_score: -109.00, done: False, time: 220.14, episodes: 400
fc_dim: 64, eps_dec: 2e-05, lr: 2e-05, avg_score: -258.44, done: False, time: 178.11, episodes: 267
fc_dim: 64, eps_dec: 2e-05, lr: 3e-05, avg_score: -233.83, done: False, time: 170.69, episodes: 226
fc_dim: 64, eps_dec: 2e-05, lr: 4e-05, avg_score: -219.68, done: False, time: 165.56, episodes: 242
fc_dim: 64, eps_dec: 2e-05, lr: 5e-05, avg_score: -207.82, done: False, time: 99.11, episodes: 185
fc_dim: 64, eps_dec: 2e-05, lr: 6e-05, avg_score: -185.36, done: False, time: 66.29, episodes: 126
fc_dim: 64, eps_dec: 2e-05, lr: 7e-05, avg_score: -113.70, done: False, time: 138.81, episodes: 219
fc_dim: 64, eps_dec: 2e-05, lr: 8e-05, avg_score: -188.47, done: False, time: 46.16, episodes: 91
fc_dim: 64, eps_dec: 2e-05, lr: 9e-05, avg_score: -110.56, done: False, time: 140.38, episodes: 224
fc_dim: 64, eps_dec: 2e-05, lr: 0.0001, avg_score: -115.89, done: False, time: 167.20, episodes: 242
fc_dim: 64, eps_dec: 2e-05, lr: 0.00011, avg_score: -92.70, done: False, time: 147.84, episodes: 231
fc_dim: 64, eps_dec: 2e-05, lr: 0.00012, avg_score: -119.58, done: False, time: 163.03, episodes: 235
fc_dim: 64, eps_dec: 2e-05, lr: 0.00013, avg_score: -156.66, done: False, time: 84.91, episodes: 155
fc_dim: 64, eps_dec: 2e-05, lr: 0.00014, avg_score: -101.24, done: False, time: 141.17, episodes: 215
fc_dim: 64, eps_dec: 2e-05, lr: 0.00015, avg_score: -115.18, done: False, time: 176.37, episodes: 266
fc_dim: 64, eps_dec: 2e-05, lr: 0.00016, avg_score: -94.01, done: False, time: 184.30, episodes: 243
fc_dim: 64, eps_dec: 2e-05, lr: 0.00017, avg_score: -65.05, done: False, time: 197.57, episodes: 241
fc_dim: 64, eps_dec: 2e-05, lr: 0.00018, avg_score: -67.06, done: False, time: 212.52, episodes: 257
fc_dim: 64, eps_dec: 2e-05, lr: 0.00019, avg_score: -67.62, done: False, time: 217.90, episodes: 275
fc_dim: 64, eps_dec: 2e-05, lr: 0.00020, avg_score: -185.06, done: False, time: 34.70, episodes: 66
fc_dim: 64, eps_dec: 2e-05, lr: 0.00021, avg_score: -180.87, done: False, time: 45.45, episodes: 89
fc_dim: 64, eps_dec: 2e-05, lr: 0.00022, avg_score: -88.51, done: False, time: 177.32, episodes: 273
fc_dim: 64, eps_dec: 2e-05, lr: 0.00023, avg_score: -118.80, done: False, time: 133.25, episodes: 199
fc_dim: 64, eps_dec: 2e-05, lr: 0.00024, avg_score: -129.40, done: False, time: 90.73, episodes: 161
fc_dim: 64, eps_dec: 2e-05, lr: 0.00025, avg_score: -52.52, done: False, time: 165.43, episodes: 254
fc_dim: 64, eps_dec: 2e-05, lr: 0.00026, avg_score: -59.13, done: False, time: 206.97, episodes: 284
fc_dim: 64, eps_dec: 2e-05, lr: 0.00027, avg_score: -95.08, done: False, time: 121.22, episodes: 209
fc_dim: 64, eps_dec: 2e-05, lr: 0.00028, avg_score: -165.36, done: False, time: 45.92, episodes: 88
fc_dim: 64, eps_dec: 2e-05, lr: 0.00029, avg_score: -73.24, done: False, time: 176.81, episodes: 248
fc_dim: 64, eps_dec: 2e-05, lr: 0.00030, avg_score: -89.63, done: False, time: 123.38, episodes: 214
fc_dim: 64, eps_dec: 2e-05, lr: 0.00031, avg_score: -81.12, done: False, time: 129.19, episodes: 225
